,,mean,STS
0,roi1,0.7516198,0.04856029
0,roi2,0.768782,0.026305784
0,roi3,0.83114564,0.050476424
0,roi4,0.95044446,0.050082043
0,roi5,0.7410336,0.027013494
0,roi6,1.1056798,0.046149828
10,roi1,0.7516198,0.04856029
10,roi2,0.768782,0.026305784
10,roi3,0.83114564,0.050476424
10,roi4,0.95044446,0.050082043
10,roi5,0.7410336,0.027013494
10,roi6,1.1056798,0.046149828
25,roi1,0.7516198,0.04856029
25,roi2,0.768782,0.026305784
25,roi3,0.83114564,0.050476424
25,roi4,0.95044446,0.050082043
25,roi5,0.7410336,0.027013494
25,roi6,1.1056798,0.046149828
50,roi1,0.7516198,0.04856029
50,roi2,0.768782,0.026305784
50,roi3,0.83114564,0.050476424
50,roi4,0.95044446,0.050082043
50,roi5,0.7410336,0.027013494
50,roi6,1.1056798,0.046149828
80,roi1,0.7516198,0.04856029
80,roi2,0.768782,0.026305784
80,roi3,0.83114564,0.050476424
80,roi4,0.95044446,0.050082043
80,roi5,0.7410336,0.027013494
80,roi6,1.1056798,0.046149828
100,roi1,0.7516198,0.04856029
100,roi2,0.768782,0.026305784
100,roi3,0.83114564,0.050476424
100,roi4,0.95044446,0.050082043
100,roi5,0.7410336,0.027013494
100,roi6,1.1056798,0.046149828
